#,Archivo,Linea,Regla,Severidad,Mensaje
45,apps/web/src/features/inventory/RoomDrawer.tsx,218,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
46,apps/web/src/features/inventory/RoomDrawer.tsx,230,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
47,apps/web/src/features/inventory/RoomTypeDrawer.tsx,136,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
48,apps/web/src/features/inventory/RoomTypesPage.tsx,162,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
49,apps/web/src/features/inventory/RoomTypesPage.tsx,170,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
50,apps/web/src/features/inventory/RoomTypesPage.tsx,181,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
51,apps/web/src/features/inventory/RoomTypesPage.tsx,188,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
52,apps/web/src/features/inventory/RoomTypesPage.tsx,196,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
53,apps/web/src/features/inventory/components/PhotoUploader.tsx,161,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
54,apps/web/src/features/inventory/components/RoomTypePhotosManager.tsx,185,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
55,apps/web/src/features/operations/CheckInDrawer.tsx,136,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
56,apps/web/src/features/operations/CheckInDrawer.tsx,173,typescript:S6853,MEDIUM,A form label must have accessible text.
57,apps/web/src/features/operations/FolioPage.tsx,143,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
58,apps/web/src/features/operations/FolioPage.tsx,255,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
59,apps/web/src/features/operations/PostChargeModal.tsx,116,typescript:S6853,MEDIUM,A form label must be associated with a control.
60,apps/web/src/features/operations/PostChargeModal.tsx,132,typescript:S6853,MEDIUM,A form label must be associated with a control.
61,apps/web/src/features/operations/PostChargeModal.tsx,144,typescript:S6853,MEDIUM,A form label must be associated with a control.
62,apps/web/src/features/operations/PostChargeModal.tsx,161,typescript:S6853,MEDIUM,A form label must be associated with a control.
63,apps/web/src/features/pricing/RatePlanDrawer.tsx,296,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
64,apps/web/src/features/pricing/RatePlansPage.tsx,169,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
65,apps/web/src/features/pricing/RatePlansPage.tsx,176,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
66,apps/web/src/features/pricing/SeasonDrawer.tsx,168,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
67,apps/web/src/features/pricing/SeasonsPage.tsx,221,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
68,apps/web/src/features/pricing/SeasonsPage.tsx,227,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
69,apps/web/src/features/public-booking/BookingConfirmationPage.tsx,26,typescript:S7773,MEDIUM,Prefer `Number.parseFloat` over `parseFloat`.
70,apps/web/src/features/public-booking/BookingFormPage.tsx,77,typescript:S7773,MEDIUM,Prefer `Number.parseInt` over `parseInt`.
71,apps/web/src/features/public-booking/BookingFormPage.tsx,78,typescript:S7773,MEDIUM,Prefer `Number.parseFloat` over `parseFloat`.
72,apps/web/src/features/public-booking/BookingFormPage.tsx,315,typescript:S6853,MEDIUM,A form label must be associated with a control.
73,apps/web/src/features/public-booking/BookingFormPage.tsx,318,typescript:S6772,LOW,Ambiguous spacing after previous element input
74,apps/web/src/features/public-booking/BookingFormPage.tsx,322,typescript:S6772,LOW,Ambiguous spacing after previous element input
75,apps/web/src/features/public-booking/BookingFormPage.tsx,326,typescript:S6772,LOW,Ambiguous spacing after previous element input
76,apps/web/src/features/public-booking/BookingFormPage.tsx,334,typescript:S6853,MEDIUM,A form label must be associated with a control.
77,apps/web/src/features/public-booking/BookingFormPage.tsx,337,typescript:S6772,LOW,Ambiguous spacing after previous element input
78,apps/web/src/features/public-booking/BookingFormPage.tsx,341,typescript:S6772,LOW,Ambiguous spacing after previous element input
79,apps/web/src/features/public-booking/BookingResultsPage.tsx,140,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
80,apps/web/src/features/public-booking/BookingResultsPage.tsx,195,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
81,apps/web/src/features/public-booking/BookingResultsPage.tsx,344,typescript:S7773,MEDIUM,Prefer `Number.parseInt` over `parseInt`.
82,apps/web/src/features/public-portal/components/OffersSection.tsx,102,typescript:S1082,LOW,"Visible, non-interactive elements with click handlers must have at least one keyboard listener."
83,apps/web/src/features/public-portal/components/OffersSection.tsx,102,typescript:S6848,MEDIUM,"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element."
84,apps/web/src/features/public-portal/hooks/useReservationDraft.ts,25,typescript:S7773,MEDIUM,Prefer `Number.parseInt` over `parseInt`.
85,apps/web/src/features/reporting/ReportExportPage.tsx,181,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
86,apps/web/src/features/reporting/ReportExportPage.tsx,194,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
87,apps/web/src/features/reporting/ReportExportPage.tsx,207,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
88,apps/web/src/features/reservations/ReservationDrawer.tsx,276,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
89,apps/web/src/features/reservations/ReservationDrawer.tsx,288,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
90,apps/web/src/features/reservations/ReservationDrawer.tsx,614,typescript:S6853,MEDIUM,A form label must be associated with a control.
91,apps/web/src/features/reservations/ReservationDrawer.tsx,633,typescript:S6853,MEDIUM,A form label must be associated with a control.
92,apps/web/src/features/reservations/components/RoomRackTable.tsx,656,typescript:S6847,LOW,Non-interactive elements should not be assigned mouse or keyboard event listeners.
93,apps/web/src/features/reservations/components/RoomRackTable.tsx,656,typescript:S1082,LOW,"Visible, non-interactive elements with click handlers must have at least one keyboard listener."
94,apps/web/src/features/reservations/wizard/ReservationWizard.tsx,56,typescript:S9011,MEDIUM,"Add an explicit ""type"" attribute to this button."
95,apps/web/src/features/review-submit/components/ReviewForm.tsx,68,typescript:S6853,MEDIUM,A form label must be associated with a control.
